series_code,series_name,measure_type,debt_value_usd,value_billions_usd
DT.INT.PBND.CB.CD,"CB, bonds (INT, current US$)",other_debt_monetary,65132000.0,0.065132
DT.INT.OFFT.PRVG.CD,"PRVG, official creditors (INT, current US$)",other_debt_monetary,28370501.6,0.0283705016
DT.NTR.PCBK.PRVG.CD,"PRVG, commercial banks (NTR, current US$)",other_debt_monetary,17715000.0,0.017715
DT.NFL.PBND.PRVG.CD,"PRVG, bonds (NFL, current US$)",other_debt_monetary,0.0,0.0
DT.DIS.PBND.PRVG.CD,"PRVG, bonds (DIS, current US$)",other_debt_monetary,0.0,0.0
DT.NFL.PRPG.CD,"Net flows on external debt, private guaranteed by public sector (PPG) (NFL, current US$)",net_flow,-7263674.700000007,-0.007263674700000007
DT.NFL.OFFT.PRVG.CD,"PRVG, official creditors (NFL, current US$)",other_debt_monetary,-90650711.3,-0.09065071129999999
DT.NTR.DECB.CD,"Net transfers on external debt, central bank (PPG) (NTR, current US$)",net_flow,-117721143.80000001,-0.11772114380000001
DT.NTR.OFFT.PRVG.CD,"PRVG, official creditors (NTR, current US$)",other_debt_monetary,-119021212.9,-0.1190212129
DT.NTR.OFFT.CB.CD,"CB, official creditors (NTR, current US$)",other_debt_monetary,-154033968.10000008,-0.15403396810000008
DT.NFL.PBND.CB.CD,"CB, bonds (NFL, current US$)",other_debt_monetary,-329584000.0,-0.329584
DT.NTR.PBND.CB.CD,"CB, bonds (NTR, current US$)",other_debt_monetary,-394716000.0,-0.394716
DT.NTR.PBND.PRVG.CD,"PRVG, bonds (NTR, current US$)",other_debt_monetary,-472462493.0,-0.472462493
DT.NTR.PRPG.CD,"Net transfers on external debt, private guaranteed by public sector (PPG) (NTR, current US$)",net_flow,-573768624.0,-0.573768624
DT.DFR.DPPG.CD,Debt forgiveness or reduction (current US$),debt_relief,-4214025318.6,-4.2140253186
DT.NFL.OFFT.OPS.CD,"OPS, official creditors (NFL, current US$)",other_debt_monetary,-4305791748.4,-4.3057917484
DT.NFL.DSTC.CD,"Net flows on external debt, short-term (NFL, current US$)",net_flow,-7007398000.0,-7.007398
DT.NTR.OFFT.OPS.CD,"OPS, official creditors (NTR, current US$)",other_debt_monetary,-7505843037.0,-7.505843037
DT.NTR.PBND.OPS.CD,"OPS, bonds (NTR, current US$)",other_debt_monetary,-8634635407.5,-8.6346354075
DT.NTR.DOPS.CD,"Net transfers on external debt, other public sector (PPG) (NTR, current US$)",net_flow,-10964573373.3,-10.964573373299999
DT.DOD.RSDL.CD,"Residual, debt stock-flow reconciliation (current US$)",debt_stock,-33045572883.4,-33.0455728834
DT.NTR.DEGG.CD,"Net transfers on external debt, general government sector (PPG) (NTR, current US$)",net_flow,-34066852921.999996,-34.066852921999995
DT.NFL.PBND.PS.CD,"PS, bonds (NFL, current US$)",other_debt_monetary,-38129899000.0,-38.129899
DT.NFL.PBND.CD,"PPG, bonds (NFL, current US$)",other_debt_monetary,-38129899000.0,-38.129899
DT.NTR.DEPS.CD,"Net transfers on external debt, public sector (PPG) (NTR, current US$)",net_flow,-45149147437.9,-45.1491474379
DT.NTR.DPPG.CD,"Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current US$)",net_flow,-45722916060.8,-45.7229160608
DT.NFL.PBND.GG.CD,"GG, bonds (NFL, current US$)",other_debt_monetary,-45852629000.0,-45.852629
DT.NTR.PNGC.CD,"PNG, commercial banks and other creditors (NTR, current US$)",other_debt_monetary,-51401260000.0,-51.40126
DT.NFL.DPNG.CD,"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",net_flow,-52132748000.0,-52.132748
DT.NFL.PNGB.CD,"PNG, bonds (NFL, current US$)",other_debt_monetary,-55035421000.0,-55.035421
DT.NTR.PNGB.CD,"PNG, bonds (NTR, current US$)",other_debt_monetary,-91439517000.0,-91.439517
DT.NTR.PBND.GG.CD,"GG, bonds (NTR, current US$)",other_debt_monetary,-99268326630.59999,-99.26832663059999
DT.NTR.PBND.PS.CD,"PS, bonds (NTR, current US$)",other_debt_monetary,-108297678039.0,-108.297678039
DT.NTR.PBND.CD,"PPG, bonds (NTR, current US$)",other_debt_monetary,-108770140532.0,-108.770140532
DT.DOD.DECT.CD.CG,Total change in external debt stocks (current US$),debt_stock,-113546665897.30002,-113.54666589730002
DT.NTR.DPNG.CD,"Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)",net_flow,-142840778000.0,-142.840778
DT.NTR.DLXF.CD,"Net transfers on external debt, long-term (NTR, current US$)",net_flow,-188564118000.0,-188.564118
DT.NTR.DECT.CD,"Net transfers on external debt, total (NTR, current US$)",net_flow,-279545874962.4,-279.54587496240003
